"","date","gen_id","gen_name","v_total","v_green","v_green_pct","flooded","severe","satellite","flooded2","severe2","pop_per_sqkm","net_out_per_thousand","old_share","income_mean","unemployed_rate","land_set_pct","land_agri_pct","incumbent","distance","land_name"
"15938",2021-09-26,7333062,"Rittersheim",82,10,0.121951219512195,0,0,0,0,0,0.422784810126582,29.940119760479,0.317365269461078,82891.0891089109,0.0229885057471264,0.0329113924050633,0.908860759493671,1,59.8550958594344,"Rheinland-Pfalz"
"15939",2017-09-24,1053101,"Ritzerau",165,22,0.133333333333333,0,0,0,0,0,0.278127812781278,-84.1423948220065,0.220064724919094,43402.7777777778,0.0226537216828479,0.0216021602160216,0.512151215121512,1,255.884941293074,"Schleswig-Holstein"
"15940",2021-09-26,1053101,"Ritzerau",154,25,0.162337662337662,0,0,0,0,0,0.269126912691269,-13.3779264214047,0.274247491638796,45390.4109589041,0.00677966101694915,0.0225022502250225,0.512151215121512,1,255.884941293074,"Schleswig-Holstein"
"15941",2017-09-24,13071123,"Ritzerow",187,1,0.0053475935828877,0,0,0,0,0,0.180172023540063,5.0251256281407,0.296482412060302,33178.5714285714,0.0552763819095477,0.0194658216387506,0.640108646446356,0,244.746270766194,"Mecklenburg-Vorpommern"
"15942",2021-09-26,13071123,"Ritzerow",170,5,0.0294117647058824,0,0,0,0,0,0.170588235294118,-13.262599469496,0.344827586206897,31781.8181818182,0.0347593582887701,0.0194570135746606,0.64027149321267,0,244.746270766194,"Mecklenburg-Vorpommern"
"15943",2017-09-24,7231111,"Rivenich",293,16,0.0546075085324232,1,0,0,0,0,0.926640926640927,-8.33333333333333,0.275,34900.8746355685,0.0111111111111111,0.0617760617760618,0.473616473616474,1,0,"Rheinland-Pfalz"
"15944",2021-09-26,7231111,"Rivenich",211,13,0.0616113744075829,1,0,0,0,0,0.929214929214929,-2.77008310249307,0.279778393351801,34637.9821958457,0.0138888888888889,0.0630630630630631,0.467181467181467,1,0,"Rheinland-Pfalz"
"15945",2017-09-24,7235116,"Riveris",185,9,0.0486486486486487,1,0,0,0,0,1.93333333333333,0,0.216748768472906,33734.375,0.0172413793103448,0.0761904761904762,0.171428571428571,1,0,"Rheinland-Pfalz"
"15946",2021-09-26,7235116,"Riveris",122,9,0.0737704918032787,1,0,0,0,0,1.90952380952381,27.431421446384,0.239401496259352,35567.5675675676,0.024330900243309,0.080952380952381,0.123809523809524,1,0,"Rheinland-Pfalz"
"15947",2021-09-26,13071124,"Röbel/Müritz",1969,104,0.0528186896901981,0,0,0,0,0,1.62940026075619,-9.60192038407681,0.411482296459292,30154.376886589,0.0454181672669068,0.0935462842242503,0.709256844850065,0,223.342154101963,"Mecklenburg-Vorpommern"
"15948",2017-09-24,13071124,"Röbel/Müritz, Stadt",2235,86,0.0384787472035794,0,0,0,0,0,1.66373411534702,-4.70035252643948,0.372894633764199,28223.3391608392,0.0611045828437133,0.0928641251221896,0.709677419354839,0,223.342154101963,"Mecklenburg-Vorpommern"
"15949",2017-09-24,15090435,"Rochau",586,11,0.0187713310580205,0,0,0,0,0,0.264291207382722,-2.909796314258,0.304558680892338,31628.5714285714,0.0387972841901067,0.0343501666239426,0.791591899512945,1,179.691248463299,"Sachsen-Anhalt"
"15950",2021-09-26,15090435,"Rochau",626,27,0.0431309904153355,0,0,0,0,0,0.256600871571392,9.99000999000999,0.361638361638362,30578.7671232877,0.0236453201970443,0.0346065111509869,0.791591899512945,0,179.691248463299,"Sachsen-Anhalt"
"15951",2021-09-26,14522490,"Rochlitz",2268,87,0.0383597883597884,1,0,0,0,0,2.38131313131313,-4.0650406504065,0.433015199717215,29460.1366742597,0.0299474605954466,0.122474747474747,0.582491582491583,1,0,"Sachsen"
"15952",2017-09-24,14522490,"Rochlitz, Stadt",2729,63,0.0230853792598021,1,0,0,0,0,2.45454545454545,6.17283950617284,0.425754458161866,28924.2424242424,0.0445816186556927,0.117845117845118,0.588383838383838,0,0,"Sachsen"
"15953",2017-09-24,6440022,"Rockenberg",2802,228,0.0813704496788009,0,0,0,0,0,2.71561338289963,-3.87862194843714,0.24891626739676,43824.200913242,0.0168834131873146,0.0923172242874845,0.602230483271376,1,72.7649663749959,"Hessen"
"15954",2021-09-26,6440022,"Rockenberg",2757,433,0.157054769677185,0,0,0,0,0,2.67843866171004,-0.693962526023595,0.271339347675226,45946.1325966851,0.0154413459322425,0.0935563816604709,0.600991325898389,1,72.7649663749959,"Hessen"
"15955",2017-09-24,7333502,"Rockenhausen",1777,120,0.0675295441755768,0,0,0,0,0,1.42085256584306,1.52875979361743,0.345308618383337,33421.2168486739,0.0311484807949551,0.0638066793374966,0.409448818897638,1,43.816088566179,"Rheinland-Pfalz"
"15956",2021-09-26,7333502,"Rockenhausen",1008,85,0.0843253968253968,0,0,0,0,0,1.45886505566115,-6.14182021217197,0.360320119114089,34725.1166407465,0.0344827586206897,0.0670648927504752,0.395872929676894,1,43.816088566179,"Rheinland-Pfalz"
"15957",2017-09-24,7233058,"Rockeskyll",111,10,0.0900900900900901,1,1,1,1,1,0.404761904761905,-29.4117647058824,0.331932773109244,33541.9847328244,0.0252100840336134,0.0476190476190476,0.520408163265306,1,0,"Rheinland-Pfalz"
